id,nama,kelas,umur,nilai_tugas,nilai_ujian
1,Andi,TI-A,19,80,85
2,Budi,TI-B,20,78,
3,Siti,TI-A,19,,88
4,Rina,TI-C,21,85,
5,Dewi,TI-A,20,,80
6,Andi,TI-A,19,80,85
7,Budi,TI-B,20,78,
8,Siti,TI-A,19,,88
9,Rina,TI-C,21,85,
10,Dewi,TI-A,20,,80
11,Rizky,TI-B,20,77,79
12,Nabila,TI-C,19,,84
13,Fajar,TI-A,20,80,
14,Putra,TI-B,21,88,90
15,Alya,TI-C,19,91,
16,Rizky,TI-B,20,77,79
17,Nabila,TI-C,19,,84
18,Fajar,TI-A,20,80,
19,Putra,TI-B,21,88,90
20,Alya,TI-C,19,91,
21,Kevin,TI-A,20,82,83
22,Ilham,TI-B,21,79,
23,Rani,TI-C,20,,91
24,Yoga,TI-A,19,84,86
25,Tari,TI-B,20,,87
26,Kevin,TI-A,20,82,83
27,Ilham,TI-B,21,79,
28,Rani,TI-C,20,,91
29,Yoga,TI-A,19,84,86
30,Tari,TI-B,20,,87
31,Andi,TI-A,19,80,85
32,Budi,TI-B,20,78,
33,Siti,TI-A,19,,88
34,Rina,TI-C,21,85,
35,Dewi,TI-A,20,,80
36,Andi,TI-A,19,80,85
37,Budi,TI-B,20,78,
38,Siti,TI-A,19,,88
39,Rina,TI-C,21,85,
40,Dewi,TI-A,20,,80
41,Rizky,TI-B,20,77,79
42,Nabila,TI-C,19,,84
43,Fajar,TI-A,20,80,
44,Putra,TI-B,21,88,90
45,Alya,TI-C,19,91,
46,Rizky,TI-B,20,77,79
47,Nabila,TI-C,19,,84
48,Fajar,TI-A,20,80,
49,Putra,TI-B,21,88,90
50,Alya,TI-C,19,91,
51,Kevin,TI-A,20,82,83
52,Ilham,TI-B,21,79,
53,Rani,TI-C,20,,91
54,Yoga,TI-A,19,84,86
55,Tari,TI-B,20,,87
56,Kevin,TI-A,20,82,83
57,Ilham,TI-B,21,79,
58,Rani,TI-C,20,,91
59,Yoga,TI-A,19,84,86
60,Tari,TI-B,20,,87
61,Andi,TI-A,19,80,85
62,Budi,TI-B,20,78,
63,Siti,TI-A,19,,88
64,Rina,TI-C,21,85,
65,Dewi,TI-A,20,,80
66,Andi,TI-A,19,80,85
67,Budi,TI-B,20,78,
68,Siti,TI-A,19,,88
69,Rina,TI-C,21,85,
70,Dewi,TI-A,20,,80
71,Rizky,TI-B,20,77,79
72,Nabila,TI-C,19,,84
73,Fajar,TI-A,20,80,
74,Putra,TI-B,21,88,90
75,Alya,TI-C,19,91,
76,Rizky,TI-B,20,77,79
77,Nabila,TI-C,19,,84
78,Fajar,TI-A,20,80,
79,Putra,TI-B,21,88,90
80,Alya,TI-C,19,91,
81,Kevin,TI-A,20,82,83
82,Ilham,TI-B,21,79,
83,Rani,TI-C,20,,91
84,Yoga,TI-A,19,84,86
85,Tari,TI-B,20,,87
86,Kevin,TI-A,20,82,83
87,Ilham,TI-B,21,79,
88,Rani,TI-C,20,,91
89,Yoga,TI-A,19,84,86
90,Tari,TI-B,20,,87
91,Andi,TI-A,19,80,85
92,Budi,TI-B,20,78,
93,Siti,TI-A,19,,88
94,Rina,TI-C,21,85,
95,Dewi,TI-A,20,,80
96,Andi,TI-A,19,80,85
97,Budi,TI-B,20,78,
98,Siti,TI-A,19,,88
99,Rina,TI-C,21,85,
100,Dewi,TI-A,20,,80
